Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,59.5524,57.1929,0.0159159,0.0173934
5,57.419,57.6643,0.0159711,0.0163001
10,58.3476,57.5643,0.0160218,0.017485
15,56.7429,55.6643,0.0165251,0.0181538
20,59.1286,60,0.0157057,0.0160128
25,61.7476,61.75,0.014912,0.0157847
30,62.8286,62.2286,0.0153505,0.0161713
35,66.2143,64.1071,0.0147673,0.0158296
40,65.1429,64.6643,0.0141214,0.0149277
45,64.5,63.2214,0.014723,0.0157786
50,61.6714,62.8286,0.0155214,0.0160092
55,63.6333,63.5643,0.014926,0.0154892
60,59.2143,60.0643,0.0158794,0.0159852
65,65.1667,66.1929,0.0137421,0.0142006
70,66.6095,65.6929,0.0138264,0.0146534
75,64.3238,63.8786,0.0139157,0.0146532
80,64.181,62.1357,0.0139268,0.0150918
85,64.9619,64.8714,0.0133624,0.014374
90,67.4857,66.6643,0.0131957,0.0144001
95,65.6571,65.4,0.0137574,0.0148119
100,67.5952,67.0929,0.0131753,0.0139488
105,69.381,67.8214,0.0126343,0.0136987
110,67.4476,66.4071,0.0139226,0.0147319
115,67.5857,63.2143,0.0132827,0.0143503
120,65.6905,62.9429,0.0139452,0.0149101
125,64.4952,64.3214,0.014191,0.014821
130,65.5476,63.7571,0.0139725,0.0147045
135,66.1857,66.0071,0.0131627,0.013942
140,63.2619,63.0571,0.0140483,0.0150265
145,65.6714,64.3786,0.0131067,0.0139483
150,66.3095,63.9429,0.0137254,0.0149643

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 64.1286 Validation Set MSE: 0.0154621
0,64.881,63.7429,0.0141384,0.0148394
5,61.25,60.0857,0.0140804,0.0146352
10,59.0278,60.2357,0.0149426,0.0155547
15,61.2063,59.4143,0.0148379,0.0158734
20,62.0794,60.6643,0.0143273,0.0155073
25,65.8532,65.7571,0.0134301,0.0140556
30,65.2817,65.7357,0.013712,0.0139616
35,63.7619,63.6357,0.0145946,0.0149759
40,63.1548,63.45,0.0145041,0.0148949
45,65.6865,64.3071,0.0135933,0.01491
50,63.0397,62.2143,0.0143206,0.0157339
55,63.8889,62.5286,0.0137934,0.0148367
60,62.9603,63.0357,0.014593,0.0150916
65,64.4087,63.85,0.014722,0.015291
70,64.4206,60.6286,0.0151401,0.016699
75,61.0397,58.2857,0.0172319,0.0175829
80,65.1786,64.8857,0.0139542,0.0146593
85,65.6984,64.25,0.0136236,0.0145196
90,67.0992,62.1929,0.0138227,0.0148884
95,64.7659,61.9929,0.0136908,0.0146005
100,68.1151,65.0071,0.0129006,0.013854
105,68.873,66.45,0.012665,0.0135456
110,66.1071,66.0786,0.0133471,0.0141394
115,67.0595,65.35,0.0136252,0.0142128
120,66.8413,66.8071,0.0130776,0.0139947
125,65.0873,63.4786,0.0132399,0.0139023
130,69.2341,66.4857,0.0127276,0.0139943
135,66.7103,63.15,0.0139413,0.0146614
140,64.8571,65.5643,0.013435,0.0143719
145,65.9206,66.2143,0.0136904,0.0148841
150,62.4048,62.6357,0.0154847,0.0160311

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 62.8071 Validation Set MSE: 0.0162054
0,60.9932,57.9929,0.0160059,0.0167573
5,62.8741,62.4786,0.0152447,0.0155773
10,69.1735,68.75,0.0135159,0.0142449
15,65.7449,65.8286,0.0142709,0.0151204
20,69.4864,68.65,0.0133066,0.0140666
25,69.5408,68.0643,0.0138489,0.0155366
30,69.881,69.3786,0.0130243,0.0142909
35,67.6973,67.35,0.014077,0.0146682
40,69.8435,70.3071,0.0132261,0.0136515
45,70.8537,68.4214,0.0125717,0.0137437
50,68.7347,68.4571,0.0128737,0.0133318
55,68.4082,67.4571,0.012819,0.0134138
60,70.0952,70.6071,0.0123922,0.0130954
65,70.2075,70.2071,0.0126733,0.0133921
70,67.5782,64.6929,0.0133494,0.0146543
75,64.8231,63.6143,0.0143542,0.0154508
80,69.1973,70.5714,0.0131077,0.0138935
85,66.568,66.6929,0.0149104,0.0147949
90,67.8163,67.15,0.0140055,0.0145838
95,70.5646,70.3429,0.0127376,0.0135662
100,70.5578,71.0429,0.0126965,0.0130566
105,69.9082,69.5429,0.0122203,0.0130489
110,70.2041,69.6,0.012631,0.0133797
115,65.4354,65.1286,0.014203,0.0144193
120,66.017,65.3643,0.0136472,0.01448
125,69.7381,68.4286,0.0128135,0.0136254
130,70.1633,69,0.0127426,0.013733
135,71.7381,71.1714,0.0126852,0.0129047
140,70.4524,69.4714,0.0124971,0.0132707
145,70.1156,70.1286,0.0123823,0.0131291
150,66.8741,67.9929,0.0131559,0.0134773

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 68.8357 Validation Set MSE: 0.013817
0,68.3423,68.6357,0.0129734,0.0134396
5,69.5208,68.3857,0.0125264,0.0134196
10,67.75,68.7143,0.013461,0.0134858
15,72.4435,72.0429,0.0120165,0.0126217
20,69.5982,69.2357,0.012322,0.0130877
25,73.1935,72.7214,0.012012,0.0126886
30,72.6369,70.9786,0.0121241,0.0130698
35,72.2946,72.1857,0.0121217,0.012865
40,67.0536,67.0571,0.013157,0.013739
45,69.8988,69.3071,0.0124953,0.0130187
50,68.7083,69.0286,0.0130096,0.0134348
55,68.9077,68.5929,0.013136,0.0130699
60,66.6518,66.55,0.0131047,0.0136729
65,68.9315,68.05,0.0122733,0.0132209
70,68.0417,67.7071,0.0122716,0.0130714
75,65.4494,65.1786,0.0135072,0.0145812
80,66.3065,66.0429,0.0131222,0.0141361
85,69.4524,69.2643,0.0128993,0.0134231
90,67.9107,66.5857,0.0129827,0.0140573
95,70.506,69.6571,0.0123666,0.0134272
100,70.7589,69.7929,0.0120489,0.0133142
105,71.2262,72.1929,0.012366,0.0131144
110,71.8929,70.7286,0.0120599,0.0130677
115,68.7113,67.8786,0.0133113,0.0145726
120,68,66.3214,0.0128074,0.0142536
125,68.3869,68.9929,0.0126434,0.0132425
130,69.244,68.0857,0.0122321,0.0132345
135,66.0625,65.9286,0.0131916,0.0136144
140,68.7321,69.2357,0.0125209,0.0131446
145,72.8631,73.0357,0.0116662,0.0124963
